Model,Test_Set,MAE,RMSE,R2,Pearson,Spearman
Both_PB_scGPT_All,OneK1K Test,8.472832824013318,10.711383445967043,0.6094436321520568,0.783264707593469,0.7473044088172992
Both_PB_scGPT_All,AIDA Test,6.500845736362308,7.998148980923818,0.5852350251036291,0.7750162123803714,0.7751209039974435
OneK1K_All_Mods_B_cells,OneK1K Test,7.069468193893604,8.804942150037046,0.7360962240878524,0.8606494460293017,0.829053467332283
OneK1K_All_Mods_B_cells,AIDA Test,61.22592230950466,62.596500721542284,-24.40523449521994,0.07927474204079282,0.09822492868534385
OneK1K_PB_GF_B_cells,OneK1K Test,7.0356332667788575,8.761531191318912,0.7386920558879245,0.8622607492582777,0.8294993901429065
OneK1K_PB_GF_B_cells,AIDA Test,60.834607770259744,62.23424481828148,-24.112037083734766,0.07165743958939574,0.06769484926505519
OneK1K_PB_scGPT_B_cells,OneK1K Test,7.371763198649327,9.120891695148186,0.7168169937842308,0.849121590991009,0.8096350844743221
OneK1K_PB_scGPT_B_cells,AIDA Test,41.010277355475594,42.85966320867763,-10.910242502087682,0.09522281430372725,0.10288146602811726
AIDA_All_Mods_B_cells,OneK1K Test,26.57978018090705,29.628918680769452,-1.9882999964378727,0.18457016115825894,0.2218258576893014
AIDA_All_Mods_B_cells,AIDA Test,7.4076765848678,9.402889650001107,0.42674774099396495,0.6642629596254278,0.6750053511278157
AIDA_PB_GF_B_cells,OneK1K Test,23.731982055421522,26.57744626265624,-1.4044684765887432,0.10930124276201202,0.09656821424477104
AIDA_PB_GF_B_cells,AIDA Test,7.605786273831664,9.734887490946615,0.38555223434906216,0.632680509202625,0.6474512542198259
AIDA_PB_scGPT_B_cells,OneK1K Test,28.291035240648984,31.354126543418165,-2.3464319950420096,0.24002876854024705,0.3032534369687196
AIDA_PB_scGPT_B_cells,AIDA Test,7.551456420794149,9.43165783492474,0.4232346390840559,0.6616058082887841,0.6895701596585956
Both_All_Mods_B_cells,OneK1K Test,7.23445806541109,9.128855574034558,0.716322257125698,0.8536023092590119,0.7961070308357584
Both_All_Mods_B_cells,AIDA Test,8.70339674155377,10.644318955401946,0.2653865841350239,0.6635710384851836,0.6928962577605765
Both_PB_GF_B_cells,OneK1K Test,7.27984222279365,9.119323508885936,0.7169143626684307,0.8526447096348292,0.7862863587041221
Both_PB_GF_B_cells,AIDA Test,8.856980393239564,10.850282755182825,0.23668251987076638,0.6591502179608392,0.6743751430663877
Both_PB_scGPT_B_cells,OneK1K Test,7.556952256914473,9.246808701727712,0.708944147577175,0.8507349402186223,0.7942922286995004
Both_PB_scGPT_B_cells,AIDA Test,8.809230356598272,10.718456643314104,0.2551177813674781,0.626913390031822,0.6641517678476672
OneK1K_All_Mods_CD4_T,OneK1K Test,6.8166814674985226,8.282817374117924,0.7664667292489745,0.8770729938123422,0.834503058890018
OneK1K_All_Mods_CD4_T,AIDA Test,84.84179604852437,86.8481646497611,-47.90400037163111,0.38553415619005793,0.4650088549169927
OneK1K_PB_GF_CD4_T,OneK1K Test,6.765752337501404,8.234966020286446,0.7691572638805816,0.8795230993289178,0.8371008185193474
OneK1K_PB_GF_CD4_T,AIDA Test,88.71082312782566,91.70206042275365,-53.52319331664415,0.30515752842405447,0.3029682720876995
OneK1K_PB_scGPT_CD4_T,OneK1K Test,7.281782817400293,8.61146152221913,0.7475668881343653,0.8655901663458333,0.8114239608657764
OneK1K_PB_scGPT_CD4_T,AIDA Test,53.203554009387794,54.892003976826906,-18.53625288677034,0.3444393521052081,0.3947550888307833
AIDA_All_Mods_CD4_T,OneK1K Test,17.60914703987106,20.117012252389973,-0.37758863464835013,0.4759565735403391,0.5031616700009846
AIDA_All_Mods_CD4_T,AIDA Test,5.862505588133874,7.194048118873801,0.6644403190382802,0.8170322158483142,0.8364277189302037
AIDA_PB_GF_CD4_T,OneK1K Test,23.04413955039814,25.842091673036695,-1.2732537481204225,0.24702215338888225,0.2122955538994663
AIDA_PB_GF_CD4_T,AIDA Test,5.99820160762025,7.667743595429266,0.6187952882777197,0.8093037944063264,0.8241731372555599
AIDA_PB_scGPT_CD4_T,OneK1K Test,18.102406113232238,20.661188716187095,-0.4531257518350893,0.47978697498260553,0.5125053084282332
AIDA_PB_scGPT_CD4_T,AIDA Test,6.079907046985841,7.536705484661864,0.6317131730891828,0.7949318555579257,0.8263089357759977
Both_All_Mods_CD4_T,OneK1K Test,6.583049304394887,8.028748532356087,0.7805738912364818,0.8892656156335681,0.8752272188276485
Both_All_Mods_CD4_T,AIDA Test,6.813314442163825,8.757582415534634,0.5027307981862583,0.7948616180719594,0.8093450934292405
Both_PB_GF_CD4_T,OneK1K Test,5.921906166107608,7.362232588263052,0.8154935055740776,0.9108972167194369,0.8972900276555856
Both_PB_GF_CD4_T,AIDA Test,8.332669949358971,10.866482068208306,0.23440157482577506,0.6686995647600014,0.6990538583574442
Both_PB_scGPT_CD4_T,OneK1K Test,7.3605022793491255,8.708233359947881,0.7418615443891858,0.8673789763225909,0.8327815894350532
Both_PB_scGPT_CD4_T,AIDA Test,6.722059184504273,8.208773135150103,0.5631024566837394,0.812068743112406,0.8162951918932886
OneK1K_All_Mods_CD8_T,OneK1K Test,6.4988816412961095,8.083357196709077,0.7775788248862971,0.8831132002600101,0.8513496078634534
OneK1K_All_Mods_CD8_T,AIDA Test,155.3664636786447,160.0189908046146,-165.02219457304008,0.26507426583148624,-0.07421024531259438
OneK1K_PB_GF_CD8_T,OneK1K Test,6.524219510167977,8.134443038060784,0.774758591255164,0.8816231310276152,0.8476837075482121
OneK1K_PB_GF_CD8_T,AIDA Test,166.11270865953074,171.12737709094142,-188.87250662743426,0.250496519920885,-0.17949460844303614
OneK1K_PB_scGPT_CD8_T,OneK1K Test,6.834836452675049,8.256236652511253,0.7679632061685144,0.8772422967420627,0.8394496909985614
OneK1K_PB_scGPT_CD8_T,AIDA Test,30.972011130594176,32.501568172183816,-5.849071937198655,0.6251866561919404,0.6240032988728742
AIDA_All_Mods_CD8_T,OneK1K Test,27.209916103043284,30.431877589665298,-2.1524636454260455,0.5252340449618146,0.454582009387837
AIDA_All_Mods_CD8_T,AIDA Test,5.618801902294692,7.296212715662008,0.654841899590308,0.8116771716971904,0.8325937855205652
AIDA_PB_GF_CD8_T,OneK1K Test,41.42037620210684,44.89831987808267,-5.862032486218052,-0.6520739072513907,-0.634102236706483
AIDA_PB_GF_CD8_T,AIDA Test,5.815987254158514,7.765209785780149,0.6090425598397318,0.783431556919161,0.8095551719722345
AIDA_PB_scGPT_CD8_T,OneK1K Test,14.318563391396317,16.6010886359695,0.0618641618537048,0.6502193376765913,0.601300984380859
AIDA_PB_scGPT_CD8_T,AIDA Test,5.806776733914183,7.260448524266348,0.6582173620456548,0.8135292501164807,0.8211970245631464
Both_All_Mods_CD8_T,OneK1K Test,7.495261436616995,9.20143383418356,0.711793610170711,0.8467711652824402,0.8149550473080384
